"","negative","positive"
"883","outside procedure","address bg level"
"884","no clinical","due dislodgement no"
"885","reportability criteria reported via","pt passed away"
"886","silicone tubing","reprogramming completed"
"887","customer reported issues insulin","surgical intervention"
"888","reported unit","granuloma"
"889","remote","replaced 2016"
"890","210 mg","fatal"
"891","reported reported issue","product condition"
"892","122 mg","value not provided"
"893","associated event","iol exchanged"
"894","reported customer 2011","dissection"
"895","not indicate adverse","patient coded"
"896","revision operative report","overdose"
"897","no unanticipated","procedure cancelled"
"898","no patient harm","lens exchanged"
"899","power chair","police"
"900","added complaint","edwards sapien"
"901","no physiological effects reported","infected"
"902","physiological effects reported","incision enlarged"
"903","insulin therapy","patient pronounced"
"904","provider reported patients blood","death known"
"905","device evaluation summary","treated"
"906","reported shaft","dead"
"907","marketing","surgically"
"908","pump empty","inappropriate atp"
"909","preuse","hypoglycemia"
"910","sparking","pocket opened"
"911","nail surgeon","passed"
"912","no known","complaint reported patient"
"913","end user states","pump replaced"
"914","unknown time incident troubleshooting","suffered"
"915","used replaced","inappropriate therapy"
"916","significant no","litigation"
"917","glucose result","no device malfunction"
"918","fails osteointegrate","cleared device"
"919","reports death","ins explanted"
"920","reported bg","revision done"
"921","information provided initial reporter","uti"
"922","no physiological","patient death occurred"
"923","arrived onsite","converted open"
"924","contacts patient","reprogrammed remains use no"
"925","procedure high","syncopal"
"926","incident related","hemorrhage"
"927","no patient consequences reported","needle stick"
"928","attempted not used","time contact patient"
"929","update","reoperation"
"930","shelf life","mortality"
"931","report made based results","reprogrammed lead remains use"
"932","bent","arrest expired"
"933","injury complications","reported patient died"
"934","implant fails osteointegrate","hospitalization"
"935","126 mg dl","patient deaths"
"936","eye lens","snared"
"937","balloon not inflate","infection"
"938","ventilator passed testing","resuscitate"
"939","urgent medical device correction","pt subsequently"
"940","lens vial","position 2019"
"941","no patient incident","customer passed away"
"942","2019 suture used","syncope"
"943","cfu","pts death"
"944","reported patient injury","pneumothorax"
"945","recur","reported patient"
"946","levels unknown","perforation"
"947","stent system","resuscitation"
"948","117 mg dl","reported patient deceased"
"949","made based results","patient passed away"
"950","ans","pocket reopened"
"951","repeat procedure","coded"
"952","device not explanted","attorney"
"953","151 mg","reported customer passed away"
"954","discolored","level impacted"
"955","intermittencies","revision"
"956","event device malfunction","reported customer passed"
"957","needle became","ins removed"
"958","220 mg dl","patient subsequently"
"959","servicing","reported death"
"960","124 mg","suicide"
"961","236 mg","snare device"
"962","returned reliability","lead reprogrammed"
"963","no information available event","repositioned"
"964","137 mg dl","date death"
"965","non sustained","no malfunction"
"966","within 10","mg dl addressed"
"967","device not used patient","patient death"
"968","intervention prolonged hospitalization","ins replaced"
"969","117 mg","turp"
"970","medical intervention prolonged hospitalization","dl addressed"
"971","210 mg dl","death listed"
"972","know customers","subsequently died"
"973","137 mg","pronounced dead"
"974","patients vns","pronounced"
"975","filter retrieval","cause death"
"976","involvement report","patient passed"
"977","party address","reported patient expired"
"978","reported patient underwent unknown","patient not survive"
"979","osteointegrate","pt passed"
"980","customer alleged","deaths"
"981","check ketones","patient deceased"
"982","hospital not report patient","explanted"
"983","pcb","death occurred"
"984","no additional patient event","hospitalized"
"985","depth gauge","survive"
"986","stall recovery","revised"
"987","contributed serious","not survive"
"988","complainant preparation","pt died"
"989","patient treatment associated","patient subsequently expired"
"990","236 mg dl","subsequently expired"
"991","dl wearing pod","autopsy"
"992","fractured no","resuscitated"
"993","no allegation patient","patient died"
"994","iq","pt expired"
"995","bend break","deceased"
"996","report advise event","expired"
"997","received 2010","passed away"
"998","glucose time incident","died"
"999","battery faster normal time","death"
"1000","faster normal time","patient expired"
